Lab.code,Sample.ID,Sequencing_Run,Sampling.date,Sample_location,Street.No.,Vendor.No.,edge_case,Stall_corrected,address,Stall_corrected_merged,Sample.type,Sample.information,SARS.CoV.2.qPCR.result,Precise.location,FromHSM,Latitude,Longitude,Stall_corrected_latitude,Stall_corrected_longitude,Stall_merged_latitude,Stall_merged_longitude
F4,Env_0304,,2020-01-01,West,7,26-28,,West|7|26-28,West|7|26-28,West|7|26-28,Environmental swab,Surface of frozen food,Negative,1,True,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
F40,Env_0340,,2020-01-01,West,2,16,,West|2|16,West|2|16,West|2|16-18,Environmental swab,Ground,Negative,1,True,30.619274,114.256847,30.619274,114.256847,30.6192705,114.2568325
F41,Env_0341,,2020-01-01,West,2,20,,West|2|20,West|2|20,West|2|20,Environmental swab,Roller shutter,Negative,1,True,30.619261,114.256789,30.619261,114.256789,30.619261,114.256789
F42,Env_0342,,2020-01-01,West,2,20,,West|2|20,West|2|20,West|2|20,Environmental swab,Ground,Negative,1,True,30.619261,114.256789,30.619261,114.256789,30.619261,114.256789
F43,Env_0343,,2020-01-01,West,2,22,,West|2|22,West|2|22,West|2|22,Environmental swab,Roller shutter,Negative,1,True,30.619253,114.256758,30.619253,114.256758,30.619253,114.256758
F44,Env_0344,,2020-01-01,West,2,22,,West|2|22,West|2|22,West|2|22,Environmental swab,Ground,Negative,1,True,30.619253,114.256758,30.619253,114.256758,30.619253,114.256758
F45,Env_0345,,2020-01-01,West,2,24,,West|2|24,West|2|24,West|2|24,Environmental swab,Roller shutter,Negative,1,True,30.619246,114.256733,30.619246,114.256733,30.619246,114.256733
F46,Env_0346,SRR23971581,2020-01-01,West,2,24,,West|2|24,West|2|24,West|2|24,Environmental swab,Ground,Positive,1,True,30.619246,114.256733,30.619246,114.256733,30.619246,114.256733
F47,Env_0347,,2020-01-01,West,2,9-11-13,,West|2|9-11-13,West|2|9-11-13,West|2|9-11-13,Environmental swab,Roller shutter,Negative,1,True,30.619236,114.256921,30.619236,114.256921,30.6192366842105,114.256930578947
F48,Env_0348,,2020-01-01,West,2,9-11-13,,West|2|9-11-13,West|2|9-11-13,West|2|9-11-13,Environmental swab,Ground,Negative,1,True,30.619236,114.256921,30.619236,114.256921,30.6192366842105,114.256930578947
F49,Env_0349,,2020-01-01,West,2,9-11-13,,West|2|9-11-13,West|2|9-11-13,West|2|9-11-13,Environmental swab,Roller shutter,Negative,1,True,30.619236,114.256921,30.619236,114.256921,30.6192366842105,114.256930578947
F5,Env_0305,,2020-01-01,West,7,26-28,,West|7|26-28,West|7|26-28,West|7|26-28,Environmental swab,White foam,Negative,1,True,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
F50,Env_0350,,2020-01-01,West,2,9-11-13,,West|2|9-11-13,West|2|9-11-13,West|2|9-11-13,Environmental swab,Ground,Negative,1,True,30.619236,114.256921,30.619236,114.256921,30.6192366842105,114.256930578947
F51,Env_0351,,2020-01-01,West,2,9-11-13,,West|2|9-11-13,West|2|9-11-13,West|2|9-11-13,Environmental swab,Roller shutter,Negative,1,True,30.619236,114.256921,30.619236,114.256921,30.6192366842105,114.256930578947
